element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
217,4,12,1,True,2022-08-06T11:30:00Z,2,2,1,90,0,0,0,2,0,0,0,0,0,0,0,13,14.8,0.7,0.0,1.6,1,0.00000,0.00612,0.00612,1.22940,45,0,9043,0,0
217,20,20,6,False,2022-08-13T14:00:00Z,0,0,2,90,0,0,1,0,0,0,0,0,0,0,0,21,21.2,19.3,1.0,4.2,1,0.01650,0.04662,0.06312,0.89000,45,405,12946,1487,1082
217,24,4,1,True,2022-08-20T14:00:00Z,3,2,3,90,0,0,0,2,0,0,0,0,0,0,0,9,11.4,21.4,0.0,3.3,1,0.00000,0.01316,0.01316,1.79750,45,1589,16456,2756,1167
217,31,1,0,False,2022-08-27T16:30:00Z,2,1,4,90,0,0,0,2,0,0,0,1,0,0,0,17,31.8,4.8,0.0,3.7,1,0.00000,0.02561,0.02561,2.72850,45,-1660,15791,792,2452
217,44,5,1,True,2022-08-30T18:30:00Z,2,1,5,90,0,0,0,1,0,0,0,1,0,0,0,10,19.4,11.7,0.0,3.1,1,0.00000,0.07136,0.07136,1.42180,45,197,17054,1684,1487
217,59,18,1,False,2022-09-03T14:00:00Z,2,1,6,28,0,0,0,0,0,0,0,0,0,0,0,3,2.8,1.4,0.0,0.4,1,0.00000,0.00278,0.00278,0.31400,45,-1221,16675,776,1997
217,78,16,0,False,2022-09-16T19:00:00Z,2,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,45,-969,13486,67,1036
217,84,15,0,True,2022-10-01T14:00:00Z,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,44,-1278,12451,62,1340
217,100,19,1,False,2022-10-09T13:00:00Z,3,1,10,90,0,0,0,3,0,0,0,0,0,0,0,15,17.6,2.8,2.0,2.2,1,0.00000,0.06694,0.06694,3.04210,44,-845,11627,48,893
217,103,3,1,True,2022-10-15T14:00:00Z,2,2,11,90,0,0,0,2,0,0,0,0,0,0,0,15,13.2,23.6,6.0,4.3,1,0.00000,0.08528,0.08528,1.05450,44,2470,14354,2857,387
217,116,2,6,True,2022-10-20T18:30:00Z,3,0,12,90,0,0,1,0,0,0,0,0,0,0,0,23,19.0,4.3,4.0,2.7,1,0.00000,0.02790,0.02790,1.15610,44,-460,14301,852,1312
217,124,11,0,False,2022-10-23T13:00:00Z,2,3,13,90,0,0,0,2,0,0,0,1,0,0,0,10,16.0,19.3,2.0,3.7,1,0.00000,0.13952,0.13952,1.71020,44,141,14153,762,621
217,136,8,6,True,2022-10-29T16:30:00Z,0,0,14,90,0,0,1,0,0,0,0,0,0,0,0,26,15.4,15.2,6.0,3.7,1,0.00000,0.14505,0.14505,0.93740,44,-98,14168,625,723
217,145,13,0,False,2022-11-05T15:00:00Z,2,1,15,90,0,0,0,2,0,0,0,1,0,0,0,3,8.2,0.4,0.0,0.9,1,0.00000,0.00168,0.00168,2.08080,44,178,14550,974,796
217,153,14,1,True,2022-11-13T16:30:00Z,1,2,16,90,0,0,0,2,0,0,0,0,0,0,0,12,9.4,12.1,2.0,2.4,1,0.00000,0.01133,0.01133,2.59080,44,-375,14279,497,872
217,165,7,6,False,2022-12-26T15:00:00Z,0,3,17,90,0,0,1,0,0,0,0,0,0,0,0,23,9.6,19.8,0.0,2.9,1,0.00000,0.07054,0.07054,0.39770,44,405,14989,6442,6037
